항공사,"유아탑승객 수","총 좌석수","탑승객 수",유아탑승비율,"탑승객 비율"
"25년 FCC",10169,1106927,975503,0.0104,0.8813
"25년 LCC",14235,1944198,1812462,0.0079,0.9322
