항공사,"유아탑승객 수","총 좌석수","탑승객 수",유아탑승비율,"탑승객 비율"
"7월 FCC",8687,1081417,885383,0.0098,0.8187
"7월 LCC",13450,1937338,1707159,0.0079,0.8812
